NtLockRegistryKey:: 0x5c60b0
_GetBaseTypeSize:: 0x23c18
ObInsertObjectEx:: 0x4eedd0
IopGetSetSpecificExtension:: 0x36a34
ObDereferenceSecurityDescriptor:: 0x4e95a0
PopDispatchCallback:: 0x5db930
MmInitializeHandBuiltProcess:: 0x5d7434
ExpQuerySystemPerformanceInformation:: 0x534770
IopSynchronousServiceTail:: 0x4f6970
NtReleaseSemaphore$filt$0:: 0x5ee110
PnpReleaseBootResourcesForFilteredRequirements:: 0x1343e8
MiProcessCrcList:: 0x4faf70
MiAllocateDriverPage:: 0x5343a8
PiDeferSetInterfaceState:: 0x57a7d8
EtwpIsEventNameFilterEnabled:: 0x650b0
CmpGetToken:: 0x83dd80
PiConfigureDevice:: 0x44a2a4
PfSnCheckActionsNeeded:: 0x438ef4
MiCreateSharedZeroPages:: 0xe48e0
StringToGuidNoBrackets:: 0x137c5c
WbProcessStartup:: 0x58099c
ObpCreateDosDevicesDirectory:: 0x5c5760
KiAbEntryUpdateOwnerTreePosition:: 0xbc334
CcMdlRead$fin$0:: 0x5f2970
KiSetAffinityThread:: 0xf90b8
NtGetNlsSectionPtr$filt$0:: 0x5f3114
PopDiagTraceFxDevicePowered:: 0x21040
MiEmptyPteBins:: 0xb75c0
KsepGetLoadedModulesList:: 0x5a5094
KdRegisterDebuggerDataBlock:: 0x78d3f0
MiUnmapFrameBuffer:: 0xd1a0
EtwpFreeCompression:: 0x112a4c
PpmUpdateIdleStates:: 0x598170
_CmGetCommonClassRegKeyPath:: 0x4679f0
CmpGetSecurityDescriptorNode:: 0x4d540
RtlStringCchCopyA:: 0x105860
IopRegistryCallback:: 0x5b7350
RtlpProcessIFEOKeyFilter:: 0x562dac
PnpQueryRemoveLockedDeviceNode:: 0x58b2dc
WmipLegacyEtwWorker:: 0x5cded0
NtQueryMultipleValueKey:: 0x565c8c
EmClientRuleEvaluate:: 0x41a680
NtSetSystemEnvironmentValue$filt$0:: 0x75486c
IoCreateDriver:: 0x5a6bc0
PfSnQueryVolumeInfo:: 0x43650c
PoQueryWatchdogTime:: 0xdc800
MmInitializeHandBuiltProcess2:: 0x5da8bc
Phase1Initialization:: 0x598360
RtlSetAllBitsEx:: 0x11cb60
FsRtlCheckOplockEx:: 0x54ce0
MiRescanPagefileBitmaps:: 0x135e5c
PoInitHiberServices:: 0x5bce90
McTemplateK0zzjzzztzqzztqz:: 0x11a000
KiWakeQueueWaiter:: 0x5a1c0
RtlStringExValidateDestW:: 0x23474
PnpSetDeviceAffinityThread:: 0x24108
MiCheckFatalAccessViolation:: 0x10a890
NtAlpcCreateResourceReserve:: 0x5699b4
MiInsertLargePageInFreeOrZeroList:: 0x9a210
PspInitializeProtectedProcessParameters:: 0x5b4440
CcForceWriteThrough:: 0x112f04
LdrpGetFromMUIMemCache:: 0x4cbd4
PfpFlushBuffers:: 0x43b120
KsepRegistryQuerySZ:: 0x5a48e8
RtlCmDecodeMemIoResource:: 0x111090
SeCaptureSidAndAttributesArray:: 0x4c4ad0
CcGetVacbMiss:: 0xb67f0
RtlpCreateSplitBlock:: 0xf15a4
SeDefaultObjectMethod:: 0x4f1fe0
PspUnlockProcessListExclusive:: 0x293f4
KiProcessThreadWaitList:: 0x666b0
IopGetNetworkOpenInformation:: 0x5dd308
NtSetIoCompletionEx:: 0x456ea0
EtwpUpdateRegEntryEnableMask:: 0x53b2e8
ExpFreeHandleTableEntry:: 0x4d092c
CmpCloseKeyObject:: 0x4b0cb0
PfpPfnPrioRequest:: 0x432580
RtlpCreateHashTable:: 0x1018e0
IopCreateArcNamesDisk:: 0x839248
PiDevCfgConfigureDeviceDriver:: 0x591068
RtlpAllocateHeap:: 0xf22b4
PnpNotifyTargetDeviceChange:: 0x47d710
DbgUnicodeStringToAnsiString:: 0xe7854
PipApplyFunctionToServiceInstances:: 0x5c799c
SeAccessCheckWithHint:: 0xc22f0
KsepDbCacheQueryDevice:: 0x54b7fc
FsRtlNotifyFilterChangeDirectoryLite$fin$0:: 0x5f2b8a
PopIdleCancelAoAcDozeS4Timer:: 0x117284
PoClearPowerRequest:: 0x45e70
MiScanPagefiles:: 0xdda7c
_CmGetDeviceMappedProperty:: 0x46e900
SepCleanupLUIDDeviceMapDirectory:: 0x5b2a34
MiUpdateLastSubsectionSize:: 0xfe7e4
MiUnlockDynamicMemoryExclusive:: 0x4b88c
MmFlushVirtualMemory:: 0x4b867c
RtlpFreeHeapInternal:: 0xf17e8
NtCreateEnclave$filt$0:: 0x6e0348
IoWMIQuerySingleInstance:: 0x468710
MiDeprioritizeVad:: 0x113910
_RegRtlOpenKeyTransacted:: 0x46bdf8
ExpSetDriverEntry$filt$0:: 0x7511e4
MiInitializeUserNoAccess:: 0x5733e8
HvlFlushSingleTb:: 0x128398
AlpcpCreateSecurityContext:: 0x4ea154
MiEmptyKernelStackCache:: 0x12428
PopDiagTraceFxDevicePowerRequirement:: 0x1f420
PopAcquireAdaptiveLock:: 0x4bd7a8
KeInsertQueueEx:: 0xf44b0
RtlUnicodeToOemN:: 0x552740
PopDiagTraceIrpStart:: 0x1192c8
PopCallPowerSettingCallback:: 0x4bb058
LookupSidInTable:: 0x560488
CmpNotifyChangeKey:: 0x4b14d0
MiAttemptHugePageCoalesce:: 0xd3780
FsRtlCheckUpperOplock$fin$0:: 0x5f381b
CcSetAdditionalCacheAttributesEx:: 0xfcdb0
MiInitializePagefileBitmapsCache:: 0x135f08
MiRemoveMappedPtes:: 0x77d10
PnpAllocatePWSTR:: 0x46ef18
MiObtainFaultCharges:: 0xa3c30
SepGetAnonymousToken:: 0x48c40
PopBatteryUpdateAlarms:: 0x5af62c
MiInsertNumaStandbyPage:: 0x125d90
FopGetTableOffsetAndSize:: 0x8665fc
IoApplyPriorityInfoThread:: 0xd5810
TxtpAddCacheEntry:: 0x7c6e6c
PsImpersonateClient:: 0x50fd40
RtlAddRange:: 0x48daf0
PoFxIdleDevice:: 0x218b8
PfpPrefetchRequestPerform:: 0x4346b4
RtlpAnalyzeHeapFailure$filt$0:: 0x252ff1
CmRegisterSystemHiveLimitCallback:: 0x5dd560
ExpGetNtProductTypeFromLicenseValue:: 0x598820
CcLazyWriteScan:: 0x3d0a8
PspSendReliableJobNotification:: 0x456dcc
PoFxPlatformRequestHandler:: 0x13a800
RtlCmEncodeMemIoResource:: 0x126020
PspEvaluateAndNotifyEmptyJob:: 0x45122c
PnpGetDeviceResourcesFromRegistry:: 0x4c839c
PfVerifyScenarioId:: 0x43aae8
MiPopulateCfgBitMap:: 0x515194
MiSnapDriverRange:: 0x545950
MiCapturePageFileInfoInline:: 0xfdc70
EtwpGetSchematizedFilterSize:: 0x4ec4a4
MmCreatePartition:: 0x13d748
PsSuspendThread:: 0x4b7f10
HvlEnlightenProcessor:: 0x11b114
PoRegisterCoalescingCallback:: 0x594200
ExpDeleteTimer:: 0x10a5f0
CmpTraceHiveMountStop:: 0x54377c
PiUEventHandleGetEvent:: 0x4858c4
KiDisconnectInterruptCommon:: 0xe33d8
