ExpQuerySystemInformation$filt$106:: 0x7d5880
ExpQuerySystemInformation$filt$71:: 0x7d4b18
HvpCopyDataToOffsetArray:: 0x2f02ec
ExpQuerySystemInformation$filt$70:: 0x7d4ad6
ExpQuerySystemInformation$filt$126:: 0x7d5fb8
MiInitializeMdlPages:: 0x2569ac
IopLegacyResourceAllocation:: 0x762380
ExpQuerySystemInformation$filt$77:: 0x7d4dac
ExpQuerySystemInformation$filt$76:: 0x7d4d6a
PsRemoveVirtualizedTimer:: 0x30ebf4
NtCancelWaitCompletionPacket:: 0x2f90d0
ExpQuerySystemInformation$filt$75:: 0x7d4d28
MiIterateOverPartitions:: 0x36fcb8
PspChargeJobWakeCounter:: 0x6946b8
ExpQuerySystemInformation$filt$74:: 0x7d4c62
SMKM_STORE<SM_TRAITS>::SmStWorkItemGet:: 0x263964
MiSlistGetFreePage:: 0x31b0d0
ExUnlockHandleTableEntry:: 0x5da320
PiControlGetPropertyData:: 0x708430
PopDiagTraceCoolingExtensionActiveUpdate:: 0x7b5b70
StEtaStart:: 0x251de4
NtFlushBuffersFileEx:: 0x6eb9b0
PiDmObjectProcessPropertyChange:: 0x733664
ExpQuerySystemInformation$filt$79:: 0x7d4e30
IopSortRelationListForRemove:: 0x738cfc
ExpInsertTimerResolutionEntry:: 0x24e33c
ExpQuerySystemInformation$filt$78:: 0x7d4dee
LdrpLoadResourceFromAlternativeModule:: 0x2dd790
RtlInterlockedClearBitRun:: 0x3a99f0
FsRtlGetTunnelParameterValue:: 0x7b43b0
MiInsertVad:: 0x2a5310
ExpCreateWorkerThread:: 0x63cca0
CmpTraceSecurityChanging:: 0x6ad7b8
MiReduceZeroingThreads:: 0x206a38
PopExtendConnectionState:: 0x7bfb0c
PsLookupProcessThreadByCid:: 0x6372f0
HalpInterruptGenerateMessage:: 0x362f58
PopFxProcessWork:: 0x2dff00
MiCreatePagefile:: 0x7a6220
IoBuildPoDeviceNotifyList:: 0x9a2750
FsRtlpCancelOplockRHIrp$fin$0:: 0x3f87d1
CcSetupWatchForRegistryChanges$fin$0:: 0x3f9c25
FsRtlReleaseFileForCcFlush:: 0x6e23f0
LdrpGetMappingFromCacheEntry:: 0x2dcf30
MiPfnsWorthTrying:: 0x29b4b0
IoQuerySystemDeviceName:: 0x7029fc
KiPriQueueThreadPriorityChanged:: 0x321030
RtlStringCchCopyW:: 0x35c920
CcUninitializeCacheMap:: 0x281620
AlpcpCaptureHandleAttribute$filt$0:: 0x7d846f
KiGenericCallDpcWorker:: 0x33a490
_GetBaseTypeSize:: 0x3328dc
ObInsertObjectEx:: 0x6131d0
KiInitDynamicTraceSupport:: 0xa58ed0
IopGetSetSpecificExtension:: 0x2d4f14
ObDereferenceSecurityDescriptor:: 0x61a220
PopDispatchCallback:: 0x7be6a0
HalpWheaReadMsrStatus:: 0x38b2dc
MmInitializeHandBuiltProcess:: 0x7bc5e4
ExpQuerySystemPerformanceInformation:: 0x696e40
IopSynchronousServiceTail:: 0x60e770
NtReleaseSemaphore$filt$0:: 0x7d8830
PnpReleaseBootResourcesForFilteredRequirements:: 0x3a962c
MiProcessCrcList:: 0x716fc0
MiAllocateDriverPage:: 0x644ddc
FsRtlCheckOplockEx2:: 0x248710
PiDeferSetInterfaceState:: 0x735370
EtwpIsEventNameFilterEnabled:: 0x2f7168
CmpGetToken:: 0xa6dfe0
PiConfigureDevice:: 0x72006c
PfSnCheckActionsNeeded:: 0x64d09c
MiCreateSharedZeroPages:: 0x25d6d0
StringToGuidNoBrackets:: 0x39471c
HalpApicDescribeLocalLines:: 0x39bbb4
MiDeleteSessionAddressSpace:: 0x373b8c
WbProcessStartup:: 0x7140d8
ObpCreateDosDevicesDirectory:: 0x78f2c4
CcMdlRead$fin$0:: 0x7d85e6
KiSetAffinityThread:: 0x24de00
MiLockWorkingSetShared:: 0x2a4240
NtGetNlsSectionPtr$filt$0:: 0x7d3934
KiSwapProcess:: 0x21e890
ExInterlockedRemoveHeadList:: 0x320ee0
PopDiagTraceFxDevicePowered:: 0x2dfe94
MiEmptyPteBins:: 0x2e5780
KeAddTriageDumpDataBlock:: 0x3b3140
KsepGetLoadedModulesList:: 0x7ac2c4
KdRegisterDebuggerDataBlock:: 0x9c2434
MiUnmapFrameBuffer:: 0x31efdc
EtwpFreeCompression:: 0x2dc134
PpmUpdateIdleStates:: 0x77f3c0
_CmGetCommonClassRegKeyPath:: 0x62f2a4
CmpGetSecurityDescriptorNode:: 0x6adc74
RtlStringCchCopyA:: 0x347764
IopRegistryCallback:: 0x7a2b70
MiDrainSystemAccessLog:: 0x27e020
RtlpProcessIFEOKeyFilter:: 0x6f5604
PnpQueryRemoveLockedDeviceNode:: 0x7242ac
ST_STORE<SM_TRAITS>::StDmpSinglePageLookup:: 0x270de8
MiApplyRetpolineFixups:: 0x318f94
MmOnlySystemCacheViewsPresent:: 0x256104
WmipLegacyEtwWorker:: 0x7b34d0
RtlpPopUserShadowStack:: 0x34f38c
NtQueryMultipleValueKey:: 0x6b3e80
MiMapViewOfSectionExCommon:: 0x686e80
MiRebuildPageTableLeafAges:: 0x3029e0
EmClientRuleEvaluate:: 0x99c350
MmQueryWorkingSetInformation:: 0x2f7254
NtSetSystemEnvironmentValue$filt$0:: 0x961561
IoCreateDriver:: 0x79bd60
PfSnQueryVolumeInfo:: 0x6a1680
PoQueryWatchdogTime:: 0x32d2a0
MmInitializeHandBuiltProcess2:: 0x7be524
Phase1Initialization:: 0x7a2960
MiCreateNewProcessTopLevelMappings:: 0x3079dc
RtlGetExtendedContextLength2:: 0x27bf60
RtlSetAllBitsEx:: 0x3b44d0
SmIoRequestComplete:: 0x263eb4
EtwpLoadMicroarchitecturalPmcs:: 0x7bfe00
XmGetStringAddress:: 0x3ab21c
