FsRtlSplitLargeMcb:: 0x1a1880
g_BufferedWorkItems:: 0x210870
IovpAdvanceStackDownwards:: 0x4fbf20
??_C@_1EM@LAIHKMAN@?$AAK?$AAR?$AAN?$AAL?$AA?3?$AA?5?$AAF?$AAa?$AAi?$AAl?$AAe?$AAd?$AA?5?$AAt?$AAo?$AA?5?$AAr?$AAe?$AAa?$AAs?$AAs?$AAi?$AAg?$AAn?$AA?5?$AAs?$AAy?$AAs?$AAt?$AAe?$AAm?$AA?5@CIFEBFPJ@:: 0x51a790
SmcGetCacheStats:: 0x43a400
KNetEvt_AcceptIPV6:: 0xaff0
IopPortAddAllocation:: 0x450ca0
SeIncreaseWorkingSetPrivilege:: 0x539528
PerfLogExecutiveResourceAcquire:: 0xedf60
??_C@_1BM@FKNDABPG@?$AAL?$AAa?$AAr?$AAg?$AAe?$AAP?$AAa?$AAg?$AAe?$AAD?$AAL?$AAL?$AAs?$AA?$AA@LBKOJDO@:: 0x4f2898
??_C@_1CK@MGPMLEDB@?$AAW?$AAo?$AAr?$AAk?$AAi?$AAn?$AAg?$AAS?$AAe?$AAt?$AAP?$AAa?$AAg?$AAe?$AAs?$AAQ?$AAu?$AAo?$AAt?$AAa?$AA?$AA@LBKOJDO@:: 0x4f27c0
GuidFormat:: 0x4f1880
WmipOpenBlock:: 0x335ce0
MmNonPagedPoolLock:: 0x2a1680
SepConcatenatePrivileges:: 0x2d41d8
PpCriticalGetDeviceLocationStrings:: 0x409370
KiCallUserMode:: 0x967b0
PnpInitializeNotifyEntry:: 0x440bd0
VfGenericInit:: 0x503510
PopDiagTraceAwayMode:: 0x3f44b0
POP_ETW_EVENT_TIME_RESOLUTION_STACK_RUNDOWN:: 0xb9d0
??_C@_1DC@KHOJOKN@?$AAV?$AAe?$AAr?$AAi?$AAf?$AAi?$AAe?$AAr?$AAF?$AAa?$AAu?$AAl?$AAt?$AAB?$AAo?$AAo?$AAt?$AAM?$AAi?$AAn?$AAu?$AAt?$AAe?$AAs?$AA?$AA@:: 0xd880
NtSystemRoot:: 0x274300
PopIdleScanDpc:: 0x21d4c0
KdPrintWritePointer:: 0x1e3030
PnpInitializeDeviceEvents:: 0x56b540
_RtlpMuiRegInitAnyLanguage:: 0x452bb0
ComposeHangulLVT:: 0xeb390
KeFreeTebSelector:: 0x3aa1b0
KdpDataBlockEncoded:: 0x200d1b
MmImageProtectionArray:: 0x91c0
CmpFinishSystemHivesLoad:: 0x4ae3e0
IopRemoveHardErrorPacket:: 0xf54e0
NormalizationList__Unlock:: 0x17ad40
MI_MAKE_PROTECT_WRITE_COPY:: 0x8d1e8
MiConvertStaticSubsections:: 0x7e3a8
GUID_PROCESSOR_IDLE_DISABLE:: 0xef00
??_C@_0DM@MMGIBEFD@COV?3?5Stored?5coverage?5section?5in?5@NNGAKEGL@:: 0x35c520
??_C@_1BK@HFOEHBHO@?$AAT?$AAa?$AAb?$AAl?$AAe?$AAV?$AAe?$AAr?$AAs?$AAi?$AAo?$AAn?$AA?$AA@LBKOJDO@:: 0x4f2ac8
??_C@_1BM@JIPCCEDL@?$AAW?$AAi?$AAn?$AAd?$AAo?$AAw?$AAS?$AAt?$AAa?$AAt?$AAi?$AAo?$AAn?$AA?$AA@GHGBBCHJ@:: 0x547688
PsMapSystemDlls:: 0x2c6cf0
GUID_VERIFIER_WMI_INTERFACE:: 0x547e68
PspDisableExceptionChainValidation:: 0x29e56c
??_C@_1O@ILPHNMBF@?$AAL?$AAO?$AAO?$AAK?$AAU?$AAP?$AA?$AA@:: 0x120e0
??_C@_0CK@CMBKKJEO@Invalid?5source?5hotpatch?5validati@NNGAKEGL@:: 0x359e80
CmpFileWrite:: 0x31a164
CmCSDVersionString:: 0x274250
PsGetProcessDebugPort:: 0xd7d60
ExResourceTimeoutCount:: 0x210750
__imp_RtlEthernetAddressToStringW:: 0x12510
??_C@_17JCBKHJFJ@?$AAM?$AAU?$AAI?$AA?$AA@FNODOBFM@:: 0xa5000
??_C@_1BK@FPEOEPEO@?$AAm?$AAc?$AAu?$AAp?$AAd?$AAa?$AAt?$AAe?$AA?4?$AAd?$AAl?$AAl?$AA?$AA@PBOPGDP@:: 0x559280
RtlGetVersion:: 0x3475c8
RtlpStdListRemove:: 0xd7a00
xHalDpReplayInterrupts:: 0x2a58d0
FsRtlLockInfoLookasideList:: 0x1f0980
PopExecuteOnTargetProcessors:: 0x220b8
WmipGenerateRegistrationNotification:: 0x4073e0
RebalanceNode:: 0x21800
FsRtlGetFileSize:: 0x30e378
RtlCompareString:: 0x3b46d0
KiApcInterruptShadow:: 0x1d1a80
TmpPromotingProtocolId:: 0x1e05a8
FsRtlNumberOfRunsInBaseMcb:: 0x7e184
RtlpNormListInitGuardEnter:: 0x20e5e0
IoKernelIssuedIoBoostedCount:: 0x271e0c
CmSelfHeal:: 0x1e42cc
BgpFoGetTextMetrics:: 0x51dcc0
WdipSemEnableSemProvider:: 0x41ecc0
PopWakeSourceWorkInProgress:: 0x21d2d0
EmpParseTargetRuleStringIndexList:: 0x570660
??_C@_1M@MCMADGCB@?$AAd?$AAe?$AA?9?$AAD?$AAE?$AA?$AA@:: 0x103c8
PopWriteHiberImage:: 0x2a8200
PfpRpControlRequest:: 0x4a1ef0
PfpSourceBuildVaArray:: 0x4455b0
PfSnGetCompletedTrace:: 0x445230
PopAllocateHiberContext:: 0x4ef2d0
MiDeletePhysicalProcessPages:: 0x3f4fa0
??_C@_08HKMPDHA@?$BL?$FL?$CFd?$DL?$CFdH?$AA@CIFEBFPJ@:: 0x51a080
??_C@_1CA@EDHKDGFM@?$AAP?$AAR?$AAO?$AAB?$AAL?$AAE?$AAM?$AAS?$AAE?$AAV?$AAE?$AAR?$AAI?$AAT?$AAY?$AA?$AA@:: 0x11ba0
??_C@_1KK@IBFBOAIN@?$AA?2?$AAr?$AAe?$AAg?$AAi?$AAs?$AAt?$AAr?$AAy?$AA?2?$AAm?$AAa?$AAc?$AAh?$AAi?$AAn?$AAe?$AA?2?$AAS?$AAY?$AAS?$AAT?$AAE?$AAM?$AA?2?$AAC?$AAu?$AAr?$AAr?$AAe?$AAn?$AAt@NNGAKEGL@:: 0x357e00
wcsspn:: 0x83fdc
MiShutdownSystem:: 0x2b1aa0
KiDivideErrorFault:: 0x9ca00
ExpHotpatchQueryLock:: 0x2113e0
RtlpMuiRegCreateKernelRegistryInfo:: 0x18f450
?NpInitialize@NP_CONTEXT@@SAXPEAU1@@Z:: 0xe0930
PltRotBarStatus:: 0x1fd128
VfZwCreateEvent:: 0x500e20
