IoAllocateDriverObjectExtension        ntoskrnl.exe+0x37D370
PiDrvDbLoadHive        ntoskrnl.exe+0x7139E4
DestroyEventEntry        ntoskrnl.exe+0x37347C
CcWorkerThread        ntoskrnl.exe+0x2C6B50
PspInitializeNetRateControl        ntoskrnl.exe+0xA5E474
PoFxRegisterDripsWatchdogCallback        ntoskrnl.exe+0x3C7DE0
PopPlRegisterComponent        ntoskrnl.exe+0x3BB448
MiLogPinDriverAddressesWorker        ntoskrnl.exe+0x7A1FE0
EmonCompleteInitializeProfiling        ntoskrnl.exe+0x99C2A0
ExReturnPoolQuota        ntoskrnl.exe+0x33BA7C
KsepStringDuplicate        ntoskrnl.exe+0x745620
IopQueryNameInternal        ntoskrnl.exe+0x660EE4
IoReportTargetDeviceChangeAsynchronous        ntoskrnl.exe+0x273570
KseDriverScopeInitialize        ntoskrnl.exe+0xA63D60
MiLogNonRetpolineImageLoadEvent        ntoskrnl.exe+0x760DA0
PopCapturePlatformRole        ntoskrnl.exe+0x64B840
CmpAdminSystemSecurityDescriptor        ntoskrnl.exe+0x790430
MiSelectImageBase        ntoskrnl.exe+0x605F18
RawScanDeletedList        ntoskrnl.exe+0x634184
WbDecryptEncryptionSegment        ntoskrnl.exe+0x5CDA20
HvpDoAllocateCell        ntoskrnl.exe+0x69F054
MiDereferenceSessionFinal        ntoskrnl.exe+0x765140
PiQueryResourceRequirements        ntoskrnl.exe+0x73AF04
MmQueryMemoryListInformation        ntoskrnl.exe+0x263D70
SeComputeQuotaInformationSize        ntoskrnl.exe+0x669530
RtlReleaseSwapReference        ntoskrnl.exe+0x3A3FBC
ObWaitForSingleObject        ntoskrnl.exe+0x5F7AC0
CcDereferenceSharedCacheMapFileObject        ntoskrnl.exe+0x2C5358
CmpLockIXLockIntent        ntoskrnl.exe+0x643354
MiCaptureRetpolineImportInfo        ntoskrnl.exe+0x76AFAC
MiUnlockLoaderEntry        ntoskrnl.exe+0x2E087C
PopExecutePowerAction        ntoskrnl.exe+0x762A18
HalpPowerInitNvsRegionData        ntoskrnl.exe+0xA64C0C
PoFxSetDeviceIdleTimeout        ntoskrnl.exe+0x3C4D20
KeFlushProcessWriteBuffers        ntoskrnl.exe+0x2FCEFC
KeQueryTotalCycleTimeThread        ntoskrnl.exe+0x296B00
WbHeapExecuteCall        ntoskrnl.exe+0x619EFC
_CmOpenDeviceContainerRegKey        ntoskrnl.exe+0x6C26B0
SiIsWinPeHardDiskZeroUfdBoot        ntoskrnl.exe+0x768894
ExpQueryNumaProcessorMap$filt$0        ntoskrnl.exe+0x7D60A0
RtlpCopyExtendedContext        ntoskrnl.exe+0x2E9F70
ExpQuerySystemInformation$filt$7        ntoskrnl.exe+0x7D536A
ExpTimeRefreshDpcRoutine$filt$3        ntoskrnl.exe+0x41164A
CmpLightWeightCommitDeleteValueKeyUoW        ntoskrnl.exe+0x7205BC
CmCompleteRegistryInitialization        ntoskrnl.exe+0x782DEC
ExpTimeRefreshDpcRoutine$filt$1        ntoskrnl.exe+0x4115C6
PopSanityCheckHiberFile        ntoskrnl.exe+0x77BCA8
PpDevCfgProcessDeviceOperations        ntoskrnl.exe+0x72E818
SiGetSystemDisk        ntoskrnl.exe+0x768630
CmGetVisibleValueCount        ntoskrnl.exe+0x654398
KeSetDisableQuantumProcess        ntoskrnl.exe+0x27B784
RemoveListHeadPte        ntoskrnl.exe+0x2B92CC
KiIsXSaveFeatureAllowed        ntoskrnl.exe+0x99D370
MiObtainSystemCacheView        ntoskrnl.exe+0x2B93D0
CmpTransSearchAddLightWeightTrans        ntoskrnl.exe+0x653754
KiFlushRangeTb        ntoskrnl.exe+0x3C5E70
KsepStringFree        ntoskrnl.exe+0x745BAC
ExpWorkerFactoryInitialization        ntoskrnl.exe+0xA6E010
CmpVolumeManagerUnlockContextListExclusive        ntoskrnl.exe+0x7C1938
NtQueryEaFile        ntoskrnl.exe+0x6EA5B0
CmpReparseToVirtualPath        ntoskrnl.exe+0x64FC48
MiStartingOffsetNeedLock        ntoskrnl.exe+0x2246C8
KeSynchronizeAddressPolicy        ntoskrnl.exe+0x2FDDBC
IopCompareReqAlternativePriority        ntoskrnl.exe+0x7BC220
ExpWnfGenerateStateName        ntoskrnl.exe+0x626250
ConsumerGetBuffer        ntoskrnl.exe+0x9910DC
KeSetPriorityAndQuantumProcess        ntoskrnl.exe+0x2F03BC
CmSelectQualifiedInstallLanguage        ntoskrnl.exe+0xA495F4
PpmPerfGetCurrentState        ntoskrnl.exe+0x351D18
AlpcpValidateConnectionMessage        ntoskrnl.exe+0x62AF90
ExpQuerySystemInformation$filt$73        ntoskrnl.exe+0x7D5916
ExpQuerySystemInformation$filt$116        ntoskrnl.exe+0x7D5CC8
MiGetSystemPage        ntoskrnl.exe+0x31CCAC
ExpQuerySystemInformation$filt$72        ntoskrnl.exe+0x7D5900
ExpQuerySystemInformation$filt$106        ntoskrnl.exe+0x7D5BEC
ExpQuerySystemInformation$filt$71        ntoskrnl.exe+0x7D58EA
HvpCopyDataToOffsetArray        ntoskrnl.exe+0x2D51C0
ExpQuerySystemInformation$filt$70        ntoskrnl.exe+0x7D58D4
ExpQuerySystemInformation$filt$126        ntoskrnl.exe+0x7D5DA4
MiInitializeMdlPages        ntoskrnl.exe+0x31382C
IopLegacyResourceAllocation        ntoskrnl.exe+0x73D7E4
ExpQuerySystemInformation$filt$77        ntoskrnl.exe+0x7D596E
ExpQuerySystemInformation$filt$76        ntoskrnl.exe+0x7D5958
PsRemoveVirtualizedTimer        ntoskrnl.exe+0x327C20
NtCancelWaitCompletionPacket        ntoskrnl.exe+0x2D56B0
ExpQuerySystemInformation$filt$75        ntoskrnl.exe+0x7D5942
MiIterateOverPartitions        ntoskrnl.exe+0x383E84
PspChargeJobWakeCounter        ntoskrnl.exe+0x68A0D0
ExpQuerySystemInformation$filt$74        ntoskrnl.exe+0x7D592C
SMKM_STORE<SM_TRAITS>::SmStWorkItemGet        ntoskrnl.exe+0x2D1780
MiSlistGetFreePage        ntoskrnl.exe+0x320CE0
ExUnlockHandleTableEntry        ntoskrnl.exe+0x5CD810
PiControlGetPropertyData        ntoskrnl.exe+0x706350
PopDiagTraceCoolingExtensionActiveUpdate        ntoskrnl.exe+0x7B54E0
StEtaStart        ntoskrnl.exe+0x30C9CC
RtlpFcQueryFeatureConfigurationFromBufferSet        ntoskrnl.exe+0x765D54
NtFlushBuffersFileEx        ntoskrnl.exe+0x6E7E80
PiDmObjectProcessPropertyChange        ntoskrnl.exe+0x736264
ExpQuerySystemInformation$filt$79        ntoskrnl.exe+0x7D599A
IopSortRelationListForRemove        ntoskrnl.exe+0x730BF8
ExpInsertTimerResolutionEntry        ntoskrnl.exe+0x3602EC
ExpQuerySystemInformation$filt$78        ntoskrnl.exe+0x7D5984
LdrpLoadResourceFromAlternativeModule        ntoskrnl.exe+0x3623E8
RtlInterlockedClearBitRun        ntoskrnl.exe+0x3BC790
FsRtlGetTunnelParameterValue        ntoskrnl.exe+0x7B3CB0
MiInsertVad        ntoskrnl.exe+0x2499D0
