??_C@_15FOMCIDHG@?$AAd?$AAa?$AA?$AA@:: 0x1b4e60
??_C@_0BD@GEIFCBIL@LdrHotPatchRoutine?$AA@EKOMKFNL@:: 0x54ba30
PsGetThreadProcessId:: 0x3d330
StackOverflowFallback:: 0x274720
MiAllocateLargeZeroPages:: 0x451490
_fltused:: 0x1e3030
ViIrpLogDatabase:: 0x21d470
PsGetProcessSessionId:: 0x38580
KxWaitForSpinLockAndAcquire:: 0x30ff0
IopCheckListForCancelableIrp:: 0x58a0
??_C@_01EEMJAFIK@?6?$AA@OKHAJAOM@:: 0x2accb0
HvlFlushAddressSpaceTb:: 0x1189a0
ZwAlpcRevokeSecurityContext:: 0x68e20
TmpNamespaceInitialize:: 0x2e8d40
AlpcpSectionDestroyProcedure:: 0x30fd84
PnpCompareResourceRequestPriority:: 0x3e0bd0
??_C@_1BG@FMELBIOE@?$AAs?$AAr?$AA?9?$AAC?$AAy?$AAr?$AAl?$AA?9?$AAC?$AAS?$AA?$AA@:: 0x1b4150
MmLastUnloadedDriver:: 0x23cec8
WppClassicProviderCallback:: 0xfa590
??_C@_0BJ@FAOIOBDH@?2ArcName?2?$CFspartition?$CI?$CFd?$CJ?$AA@NNGAKEGL@:: 0x373d50
??_C@_0CD@DFOPLOLM@Freed?5too?5many?5map?5registers?3?5?9?$CF@FNODOBFM@:: 0xace90
??_C@_1CG@INBLODGN@?$AAP?$AAa?$AAr?$AAa?$AAl?$AAl?$AAe?$AAl?$AAC?$AAo?$AAn?$AAt?$AAr?$AAo?$AAl?$AAl?$AAe?$AAr?$AA?$AA@LBKOJDO@:: 0x360858
MiCheckSecuredVad:: 0x311bd0
MiMapCacheExceptionFilter:: 0x3e01c0
MiStoreMinModWritePriority:: 0x223ec0
?StDmCleanup@?$ST_STORE@USM_TRAITS@@@@SAXPEAU_ST_DATA_MGR@1@K@Z:: 0x192c50
MxGetNextPage:: 0x56de70
KeUpdateUmsThreadState:: 0x3fc700
WmipMarkHandleAsClosed:: 0x45cb40
ObSetSecurityDescriptorInfo:: 0x308efc
KiAddProcessorToGroupDatabase:: 0x10d1d0
??_C@_15IIJLGAGL@?$AAb?$AAa?$AA?$AA@:: 0x1b4b88
??_C@_1CC@CLPLLKPB@?$AA?3?$AA?3?$AA?$CF?$AAh?$AAs?$AA?$CF?$AAu?$AA?4?$AA?$CF?$AAu?$AA?4?$AA?$CF?$AAu?$AA?4?$AA?$CF?$AAu?$AA?$AA@FNODOBFM@:: 0xac720
MmEnablePAT:: 0x2ad6b0
RtlpMuiRegLoadLicInformation:: 0x17dc00
??_C@_1BG@MBBMHHKI@?$AAt?$AAg?$AA?9?$AAC?$AAy?$AAr?$AAl?$AA?9?$AAT?$AAJ?$AA?$AA@:: 0x1b4860
??_C@_1EO@EKIIDBMB@?$AA?$HL?$AA0?$AA0?$AA0?$AA0?$AA0?$AA0?$AA0?$AA0?$AA?9?$AA0?$AA0?$AA0?$AA0?$AA?9?$AA0?$AA0?$AA0?$AA0?$AA?9?$AAF?$AAF?$AAF?$AAF?$AA?9?$AAF?$AAF?$AAF?$AAF?$AAF?$AAF?$AAF@NNGAKEGL@:: 0x375270
strncpy_s:: 0xbd474
NtDeleteValueKey:: 0x2f4ad0
DbgLoadImageSymbols:: 0x10a460
WheapInitializeEventing:: 0x57c190
AlpcpReleaseMessageAttributesOnCancel:: 0x2fa900
