KeSynchronizeAddressPolicy        ntoskrnl.exe+0x2846F8
IopCompareReqAlternativePriority        ntoskrnl.exe+0x847DC0
ExpWnfGenerateStateName        ntoskrnl.exe+0x7081C4
ConsumerGetBuffer        ntoskrnl.exe+0xA4A4AC
KeSetPriorityAndQuantumProcess        ntoskrnl.exe+0x2B7D80
CmSelectQualifiedInstallLanguage        ntoskrnl.exe+0xB0BB84
PpmPerfGetCurrentState        ntoskrnl.exe+0x23E050
AlpcpValidateConnectionMessage        ntoskrnl.exe+0x7281A0
ExpQuerySystemInformation$filt$73        ntoskrnl.exe+0x863286
ExpQuerySystemInformation$filt$116        ntoskrnl.exe+0x864306
MiSetNextStandbyPageSameNodeNoLockAsserts        ntoskrnl.exe+0x2EEEE0
MiGetSystemPage        ntoskrnl.exe+0x26BD28
ExpQuerySystemInformation$filt$72        ntoskrnl.exe+0x863244
ExpQuerySystemInformation$filt$106        ntoskrnl.exe+0x863EA4
DifMarkHiberPhase        ntoskrnl.exe+0x394A6C
ExpQuerySystemInformation$filt$71        ntoskrnl.exe+0x863202
ExpQuerySystemInformation$filt$136        ntoskrnl.exe+0x864A3E
HvpCopyDataToOffsetArray        ntoskrnl.exe+0x2A13A4
ExpQuerySystemInformation$filt$70        ntoskrnl.exe+0x8631C0
ExpQuerySystemInformation$filt$126        ntoskrnl.exe+0x8646E4
IopLegacyResourceAllocation        ntoskrnl.exe+0x815630
ExpQuerySystemInformation$filt$77        ntoskrnl.exe+0x8633D0
ExpQuerySystemInformation$filt$76        ntoskrnl.exe+0x86334C
PsRemoveVirtualizedTimer        ntoskrnl.exe+0x242C48
NtCancelWaitCompletionPacket        ntoskrnl.exe+0x22F0A0
ExpQuerySystemInformation$filt$75        ntoskrnl.exe+0x86330A
LocalGetStringForSid        ntoskrnl.exe+0x73B660
MiIterateOverPartitions        ntoskrnl.exe+0x385A7C
PspChargeJobWakeCounter        ntoskrnl.exe+0x790920
ExpQuerySystemInformation$filt$74        ntoskrnl.exe+0x8632C8
SMKM_STORE<SM_TRAITS>::SmStWorkItemGet        ntoskrnl.exe+0x3805C0
MiSlistGetFreePage        ntoskrnl.exe+0x220DA8
ExUnlockHandleTableEntry        ntoskrnl.exe+0x7F3590
PiControlGetPropertyData        ntoskrnl.exe+0x7A5880
StEtaStart        ntoskrnl.exe+0x25AB64
RtlpFcQueryFeatureConfigurationFromBufferSet        ntoskrnl.exe+0x810378
NtFlushBuffersFileEx        ntoskrnl.exe+0x697F30
PiDmObjectProcessPropertyChange        ntoskrnl.exe+0x7A9194
ExpQuerySystemInformation$filt$79        ntoskrnl.exe+0x86355C
IopSortRelationListForRemove        ntoskrnl.exe+0x7CBC14
ExpInsertTimerResolutionEntry        ntoskrnl.exe+0x2502A4
ExpQuerySystemInformation$filt$78        ntoskrnl.exe+0x863496
LdrpLoadResourceFromAlternativeModule        ntoskrnl.exe+0x2089F8
RtlInterlockedClearBitRun        ntoskrnl.exe+0x2A06E0
FsRtlGetTunnelParameterValue        ntoskrnl.exe+0x83DE2C
ExpCreateWorkerThread        ntoskrnl.exe+0x6CA280
CmpTraceSecurityChanging        ntoskrnl.exe+0x7381E8
MiReduceZeroingThreads        ntoskrnl.exe+0x26EE38
PopExtendConnectionState        ntoskrnl.exe+0x806B70
PsLookupProcessThreadByCid        ntoskrnl.exe+0x680080
HalpInterruptGenerateMessage        ntoskrnl.exe+0x3D0C28
PopFxProcessWork        ntoskrnl.exe+0x2BE130
MiCreatePagefile        ntoskrnl.exe+0x833018
IoBuildPoDeviceNotifyList        ntoskrnl.exe+0xA4D5DC
FsRtlpCancelOplockRHIrp$fin$0        ntoskrnl.exe+0x431873
CcSetupWatchForRegistryChanges$fin$0        ntoskrnl.exe+0x435331
FsRtlReleaseFileForCcFlush        ntoskrnl.exe+0x79EE68
LdrpGetMappingFromCacheEntry        ntoskrnl.exe+0x20829C
MiPfnsWorthTrying        ntoskrnl.exe+0x268030
IoQuerySystemDeviceName        ntoskrnl.exe+0x6A7FFC
KiPriQueueThreadPriorityChanged        ntoskrnl.exe+0x236F44
RtlStringCchCopyW        ntoskrnl.exe+0x36A434
CcUninitializeCacheMap        ntoskrnl.exe+0x2E1C60
EtwpTraceThreadRundown        ntoskrnl.exe+0x3A5F30
AlpcpCaptureHandleAttribute$filt$0        ntoskrnl.exe+0x8611E8
KiGenericCallDpcWorker        ntoskrnl.exe+0x20BA30
_GetBaseTypeSize        ntoskrnl.exe+0x36AAD0
ObInsertObjectEx        ntoskrnl.exe+0x767270
KiInitDynamicTraceSupport        ntoskrnl.exe+0xB2D9E0
IopGetSetSpecificExtension        ntoskrnl.exe+0x2957EC
ObDereferenceSecurityDescriptor        ntoskrnl.exe+0x6FF3B0
CmpBounceContextCleanup        ntoskrnl.exe+0x6734DC
PopDispatchCallback        ntoskrnl.exe+0x849570
HalpWheaReadMsrStatus        ntoskrnl.exe+0x3AC410
MmInitializeHandBuiltProcess        ntoskrnl.exe+0x845A48
ExpQuerySystemPerformanceInformation        ntoskrnl.exe+0x6CB5B0
IopSynchronousServiceTail        ntoskrnl.exe+0x76BA20
NtReleaseSemaphore$filt$0        ntoskrnl.exe+0x8609A0
MiProcessCrcList        ntoskrnl.exe+0x7793D0
MiIsPageInHugePfn        ntoskrnl.exe+0x207530
MiAllocateDriverPage        ntoskrnl.exe+0x67E7BC
FsRtlCheckOplockEx2        ntoskrnl.exe+0x292F20
CmpCompareKeysByName        ntoskrnl.exe+0x655724
PiDeferSetInterfaceState        ntoskrnl.exe+0x7C6508
EtwpIsEventNameFilterEnabled        ntoskrnl.exe+0x29F690
CmpGetToken        ntoskrnl.exe+0xB03B88
PfSnCheckActionsNeeded        ntoskrnl.exe+0x6CFC20
MiCreateSharedZeroPages        ntoskrnl.exe+0x3517A0
StringToGuidNoBrackets        ntoskrnl.exe+0x3CE518
MiUpdateSessionPxeMaster        ntoskrnl.exe+0x21DB10
HalpApicDescribeLocalLines        ntoskrnl.exe+0x3BA4F0
WbProcessStartup        ntoskrnl.exe+0x6BC7AC
ObpCreateDosDevicesDirectory        ntoskrnl.exe+0x807F9C
CcMdlRead$fin$0        ntoskrnl.exe+0x861290
KiSetAffinityThread        ntoskrnl.exe+0x259928
MiLockWorkingSetShared        ntoskrnl.exe+0x34DC50
NtGetNlsSectionPtr$filt$0        ntoskrnl.exe+0x8653BB
