PoFxIdleDevice:: 0xfaac0
PfpPrefetchRequestPerform:: 0x4a45e4
RtlpAnalyzeHeapFailure$filt$0:: 0x20f546
CmRegisterSystemHiveLimitCallback:: 0x562434
CcLazyWriteScan:: 0x98c90
PspSendReliableJobNotification:: 0x497e44
PoFxPlatformRequestHandler:: 0x13a1c8
RtlCmEncodeMemIoResource:: 0x12e218
PspEvaluateAndNotifyEmptyJob:: 0x3e4814
PnpGetDeviceResourcesFromRegistry:: 0x4b0d58
PfVerifyScenarioId:: 0x495a00
MiPopulateCfgBitMap:: 0x43b0e4
PopFreeHiberContext:: 0x516c80
KiInsertTimer2IntoCollection:: 0xd86f0
MiSnapDriverRange:: 0x49ee60
EtwpGetSchematizedFilterSize:: 0x3f37c0
EtwTraceContextSwap:: 0x1da40
PsSuspendThread:: 0x484858
HvlEnlightenProcessor:: 0x12b390
PoRegisterCoalescingCallback:: 0x531078
ExpDeleteTimer:: 0xc8198
CmpTraceHiveMountStop:: 0x489500
PiUEventHandleGetEvent:: 0x47ebf0
KiDisconnectInterruptCommon:: 0x11662c
NtSetSystemInformation:: 0x4911c0
PspGetNextJob:: 0x436f20
AlpcpDispatchReplyToPort:: 0x498010
AlpcViewDestroyProcedure:: 0x46ac0c
MiFlushStrongCodeDriverLoadFailures:: 0x799364
EtwpLoggerDpc:: 0x124a54
KeAbPostRelease:: 0x73200
CmpCloneKCBValueListForTrans:: 0x4c73ec
PopGetDope:: 0x12c94c
CmpDeleteHive:: 0x100c14
NtWaitForWorkViaWorkerFactory:: 0xcca0
IopAddBootDiskInformation:: 0x12e974
ExpWorkerThreadBalanceManager:: 0x54b1e8
NtSetSystemInformation$filt$14:: 0x5781ff
IopQueryDeviceResetRegistrySettings:: 0x7b3068
ConsumerPeekAndConsumeBuffer:: 0x3c0fe0
PspJobIoRateVolumeEntryRemoveAll:: 0x2e9c
MiStoreEvictPageFile:: 0xb7a18
FsRtlCancellableWaitForMultipleObjects:: 0x3d9b7c
PiDqIrpPropertySet$filt$0:: 0x62bb23
MiInitializeSystemVa:: 0x789924
MiCheckPhysicalAddressRange:: 0x1396f4
FsRtlpOplockBreakByCacheFlags$fin$0:: 0x15fb61
AlpcpUnregisterCompletionListDatabase:: 0x496b84
HeadlessTerminalAddResources:: 0x53dcb0
wcstoxlX:: 0x14163c
KiRequestSoftwareInterrupt:: 0x1f810
KiSetTimerEx:: 0xc5e70
OpenGlobalizationUserSettingsKey:: 0x125640
B_TREE<unsigned long,ST_STORE<SM_TRAITS>::_ST_HASH_ENTRY,4096,NP_CONTEXT,ST_STORE<SM_TRAITS>::ST_HASH_ENTRY_COMPARATOR>::BTreeIteratorFromSearchResult:: 0x10e9b0
